Institution Name,Mission statement (IC2020mission)
Oklahoma State University-Main Campus,
Oklahoma Wesleyan University,
Old Dominion University,Old Dominion University located in the City of Norfolk in the metropolitan Hampton Roads region of coastal Virginia is a dynamic public research institution that serves its students and enriches the Commonwealth of Virginia the nation and the world through rigorous academic programs strategic partnerships and active civic engagement.
Olivet College,Olivet College’s mission is to provide an education that enriches lives intellectually  morally and spiritually to a diverse campus community. Having attained these qualities through their educational experiences at Olivet  our hope is that our graduates will embody the “divine art and science of doing good to others ” as stated by the college’s founding fathers in 1844.
Olivet Nazarene University,Olivet Nazarene University  a denominational university in the Wesleyan tradition  exists to provide a university-level liberal arts ”Education With a Christian Purpose.” Our mission is to provide high-quality academic instruction for the purpose of personal development  career and professional readiness  and the preparation of individuals for lives of service to God and humanity. ”We seek the strongest scholarship and the deepest piety  knowing that they are thoroughly compatible (and) … a Christian environment … where not only knowledge but character is sought.” (Quotation from the Olivet University Catalog  1915)
Oral Roberts University,Copyright©2023 Oral Roberts University.All rights reserved.
Oregon Institute of Technology,Oregon Institute of Technology (Oregon Tech) Oregon’s public polytechnic university offers innovative professionally-focused undergraduate and graduate degree programs in the areas of engineering health business technology and applied arts and sciences. To foster student and graduate success the university provides a hands-on project-based learning environment and emphasizes innovation scholarship and applied research. With a commitment to diversity and leadership development Oregon Tech offers statewide educational opportunities and technical expertise to meet current and emerging needs of Oregonians as well as other national and international constituents.
Oregon State University,Oregon State University is a comprehensive research intensive public land-grant university. OSU is one of only two land- sea- space- and sun-grant universities with such designation in the country. Oregon State programs and faculty are located in every county of the state and investigate the state's greatest challenges. The state of Oregon is OSU’s campus but our mission is to serve the state the nation and the world. The university works in partnership with the P-12 school system Oregon community colleges and other colleges and universities to provide access to high-quality educational programs. Strong collaborations with industry and state and federal agencies drive OSU's research enterprise.
Oregon State University-Cascades Campus,As a campus of Oregon’s leading public research university OSU-Cascades provides globally-relevant education research and outreach. Our students develop the knowledge and critical thinking ability to lead informed lives serve their communities and enhance their careers. OSU-Cascades is committed to the diversity and sustainability of the campus and  surrounding communities.
Otis College of Art and Design,A leader in art and design education for over 100 years  Otis College of Art and Design educates a diverse community of students to become highly skilled  well-informed  and responsible professionals—empowering them to shape the world. Ideally situated within Los Angeles  our distinguished programs and faculty transform students’ lives through rigorous practice that nurtures and propels their creativity  skill  vision  and critical thinking.
Ottawa University-Ottawa,Building on its foundation as a Christ-inspired community of grace and open inquiry Ottawa University prepares professional and liberal arts graduates for lifetimes of personal significance vocational fulfillment and service to God and humanity.
Ottawa University-Surprise,
Otterbein University,
Ouachita Baptist University,
Our Lady of the Lake University,Founded and sponsored by the Sisters of Divine Providence Our Lady of the Lake University'                           is a Catholic Hispanic-serving inclusive learning community. Through quality innovative'                           undergraduate and graduate education we foster spiritual personal and professional'                           growth. Our graduates are prepared for purposeful lives and service to humanity.
Ozark Christian College,God will use your service opportunities here to change you.If what you’re learning at Ozark only makes it into your class notes and not into your life you’re missing the point. We’re here to prepare you for Christian service. “Impression without expression leads to depression” and the only way to stay spiritually healthy is to serve—to put your education into practice.
Pace University,Pace University transforms lives by combining rigorous academics with real-world experiences. For generations  Pace has launched graduates into career success  and today we’re the country’s number one private  four-year institution for driving upward economic mobility  according to Opportunity Insights. We’re proud to create opportunity for hardworking  ambitious students  regardless of their backgrounds. www.pace.edu/vision-mission/
Pacific College of Health and Science,Pacific College improves lives by educating and inspiring compassionate skilled leaders of traditional medicine and integrative health sciences.
Pacific College of Health and Science,Pacific College improves lives by educating and inspiring compassionate skilled leaders of traditional medicine and integrative health sciences.
Pacific Lutheran University,PLU seeks to educate students for lives of thoughtful inquiry  service  leadership and care – for other people  for their communities  and for the Earth.
Pacific Northwest College of Art,Pacific Northwest College of Art is the leading professional arts and design school in the Northwest; we are the heartbeat of learning and experimentation in Portland’s vibrant cultural ecosystem.  We spark curiosity and sharpen skills so students can build creative careers anchored in innovation justice and civic imagination.
Pacific Oaks College,Grounded in its social justice heritage Pacific Oaks College prepares students to be culturally intelligent agents of change serving diverse communities in the fields of human development education and related family studies.
Pacific Rim Christian University,Pacific Rim Christian University  an institution of higher education  exists to disciple emerging Christian leaders by developing their theology  ministry skills  and character in order to win souls  plant fruitful churches  and lead as exemplary ambassadors for Christ in the ministry and marketplace.
Pacific States University,
Pacific Union College,Pacific Union College is a Seventh-day Adventist learning community offering an excellent Christ-centered education that prepares its students for productive lives of useful human service and uncompromising personal integrity.
Pacific University,A diverse and sustainable community dedicated to discovery and excellence in teaching  scholarship and practice  Pacific University inspires students to think  care  create  and pursue justice in our world.
Paier College,2020 ©  Paier College Inc. All Rights Reserved.
Paine College,Paine College Mission Statement is reflective of the nature and purpose of the institution as a church-related liberal arts institution providing a high caliber education. The Mission Statement reflects the founding goals of the college and it is comprehensive in establishing the institution as grounded in Methodism and providing a basis for the institution's operational foci. The statement is current as it is periodically reviewed evaluated and approved by the governing body with appropriate input from its various constituencies. The Mission also firmly ties the College to its Biblical Foundation Statement.
Palm Beach Atlantic University,Palm Beach Atlantic University is a comprehensive Christian university with a significant'                     core emphasis in the liberal arts. Its purpose is to offer a curriculum of studies'                     and a program of student activities dedicated to the development of moral character'                     the enrichment of spiritual lives and the perpetuation of growth in Christian ideals.
Park University,The link you followed was directed to a page which no longer exists. If you have concerns or challenges locating information please contact the Web Managerwebcomm@park.edu.
Parker University,
Paul Quinn College,Changing the model of higher education is no small feat. It takes a collective effort and contributions of all shapes and sizes. Discover how you can help and leave your own mark on the Paul Quinn movement.
Paul Smiths College of Arts and Science,
Peirce College,COVID-19 Info and Resources:Peirce remains fully operational. All classes are provided online.Learn more.
Pennsylvania Academy of the Fine Arts,The Pennsylvania Academy of the Fine Arts (PAFA) promotes the transformative power of art and art making.
Pennsylvania College of Art and Design,
Pepperdine University,Pepperdine is a Christian university committed to the highest standards of academic'                     excellence and Christian values where students are strengthened for lives of purpose'                     service and leadership.
Peru State College,Peru State College provides students of all backgrounds access to engaging educational experiences to strengthen and enrich communities  Nebraska and the world.
Pfeiffer University,Established in 1885  Pfeiffer University is a globally engaged  regional university distinctive for its transformational undergraduate experiences and leadership in professional and graduate programs that fill demonstrated needs at its campuses in Misenheimer  Charlotte and Raleigh-Durham  and online.    Vested in its history as a United Methodist-related university and propelled by an innovative faculty and staff  Pfeiffer prepares its students for a lifetime of achievement  scholarship  spirituality and service.
Philander Smith College,Founded in 1877 Philander Smith College is a small privately supported historically Black four-year liberal arts institution related to the Board of Higher Education and Ministry of the United Methodist Church.
Piedmont University,COVID-19: Piedmont Together—Living and Learning During the Pandemic
Pillar College,Pillar College/Meet Pillar
Pine Manor College,
Pittsburg State University,The mission ofPittsburg State Universityis to provide transformational experiences for its students and the community.
Pitzer College,
Platt College-Aurora,
Platt College-San Diego,
Plymouth State University,Plymouth State University has a long tradition of meeting the evolving educational needs of the New Hampshire and New England community. Established in 1871 as Plymouth Normal School the institution became Plymouth Teacher’s College in 1939 Plymouth State College in 1963 and Plymouth State University in 2003. A founding member of the University System of New Hampshire Plymouth State now serves New Hampshire and the New England region as a comprehensive institution of higher education. The university confers BA BFA and BS degrees as well as master’s degrees Certificates of Advanced Graduate Studies in selected areas and EdD and DPT degrees. Professional outreach activities and graduate courses are offered at several satellite locations throughout the state and articulation agreements with other campuses of the University System and the Community College System of New Hampshire offer a variety of program and transfer opportunities. The University also contributes directly to the ongoing academic and cultural life of the region by providing a variety of continuing education programs concerts and theater performances art exhibits and the athletic events of 24 varsity sports. PSU’s attractive residential campus of wide greens tree-lined walkways and traditional brick buildings with an array of towers is located in the White Mountains and Lakes Region of New Hampshire a pristine rural setting of great natural beauty and multiple outdoor recreational opportunities within easy access of the New England region.
Point Loma Nazarene University,Point Loma Nazarene University exists to provide higher education in a vital Christian community where minds are engaged and challenged character is modeled and formed and service is an expression of faith. Being of Wesleyan heritage we strive to be a learning community where truth is pursued grace is foundational and holiness is a way of life.
Point Park University,Point Park University provides innovative undergraduate and graduate education in a dynamic urban setting.  Dedicated to academic excellence and community engagement we prepare students of diverse backgrounds with the knowledge skill and experience to lead meaningful lives as informed citizens and successful professionals.
Point University,The mission of Point University is to educate students for Christ-centered service and leadership throughout the world.
Polytechnic University of Puerto Rico-Miami,
Polytechnic University of Puerto Rico-Orlando,As an institution of higher education  the mission of the Polytechnic University of Puerto Rico is to provide opportunities to individuals from diverse backgrounds and in different locations  using multiple methods of delivery to cultivate their potential for leadership  productivity  competitiveness and critical thinking  through exposure to intellectual  scientific  humanistic and technological advancement  with the purpose of contributing to regional and global sustainability.
Pomona College,Throughout its history Pomona College has educated students of exceptional promise. We gather individuals regardless of financial circumstances into a small residential community that is strongly rooted in Southern California yet global in its orientation. Through close ties among a diverse group of faculty staff and classmates Pomona students are inspired to engage in the probing inquiry and creative learning that enable them to identify and address their intellectual passions. This experience will continue to guide their contributions as the next generation of leaders scholars artists and engaged members of society to fulfill the vision of the College’s founders: to bear their added riches in trust for all.
Pontifical College Josephinum,The Pontifical College Josephinum is a Roman Catholic seminary whose mission is to prepare men for the ordained priesthood through human  spiritual  intellectual  and pastoral formation. The seminary consists of two academic divisions: The College of Liberal Arts and The School of Theology  which includes a Pre-Theology Program.  The Josephinum is a pontifical institution immediately subject to the Holy See  through the Apostolic Nuncio  and governed by the Board of Trustees. Its programs follow the norms established by the Code of Canon Law  the Congregation for Catholic Education  and the United States Conference of Catholic Bishops.  Continuing the vision of its founder  Msgr. Joseph Jessing  the Josephinum seeks to prepare priests for the new evangelization and to serve the pastoral needs of the Church. In fidelity to this vision  the Josephinum provides resources to prepare candidates for the priesthood  enabling them to respond to the particular needs of their local communities. The Josephinum shares its resources with the wider Church by promoting vocations and by offering continuing education to clergy and laity.
Portland State University,Portland State University is leading the way to an equitable and sustainable future through academic excellence urban engagement and expanding opportunity for all. We pursue excellence through accessibility innovation collaboration engagement sustainability and transformation.
Post University,At Post University we believe that personalized guidance unwavering motivation robust support and a student-centered education are the catalysts that allow students to achieve their individual academic and career goals. We shape workforce ready socially responsible leaders through learning experiences offered in and out of the classroom designed to promote the exchange of knowledge expand thinking and refine practical and professional skills.
Prairie View A & M University,
Pratt Institute-Main,
Presbyterian College,The compelling purpose of Presbyterian College  as a church-related college  is to develop within the framework of Christian faith the mental  physical  moral  and spiritual capacities of each student in preparation for a lifetime of personal and vocational fulfillment and responsible contribution to our democratic society and the world community.
Presbyterian Theological Seminary in America,
Prescott College,It is the mission of Prescott College to educate students of diverse ages and backgrounds to understand  thrive in  and enhance our world community and environment. We regard learning as a continuing process and strive to provide an education that will enable students to live productive lives while achieving a balance between self-fulfillment and service to others. Students are encouraged to think critically and act ethically with sensitivity to both the human community and the biosphere. Our philosophy stresses experiential learning and self-direction within an interdisciplinary curriculum.
Presentation College,Welcoming people of all faiths  Presentation College challenges learners toward academic excellence and  in the Catholic tradition  the development of the whole person.
Princeton University,“Princeton University has a longstanding commitment to service reflected in Princeton’s informal motto — Princeton in the nation’s service and the service of humanity — and exemplified by the extraordinary contributions that Princetonians make to society.”
Providence Christian College,
Providence College,Providence College is a Catholic Dominican liberal arts institution of higher education and a community committed to academic excellence in pursuit of the truth growth in virtue and service of God and neighbor.
Provo College,"By clicking the ""Send Request"" button you are providing express written consent indicating a willingness to be called and/or texted by Provo College to discuss educational opportunities. We will never share your info.Privacy Policy"
Purdue University Fort Wayne,On April 30 2020 the Strategic Plan Steering Committee issued the strategic plan—the culmination of a collaborative planning process that brought together faculty staff and students from across the university to build our strategic plan and set our collective vision for the future of Purdue Fort Wayne.
Purdue University Global,Purdue University Global delivers personalized online education tailored to the unique needs of adults who have work or life experience beyond the classroom  enabling them to develop essential academic and professional skills with the support and flexibility they need to achieve their career goals.
Purdue University Northwest,Purdue University Northwest’s Strategic PlanPower Onward provides the framework for our shared goals and our vision for the future.
Purdue University-Main Campus,
Queens University of Charlotte,Queens University of Charlotte aims to provide transformative educational experiences'                  that nurture intellectual curiosity promote global understanding encourage ethical'                  living and prepare individuals for purposeful and fulfilling lives.
Quincy University,
Quinnipiac University,Our mission at Quinnipiac is to build the University of the Future with a strategy propelling us from our storied past toward an ambitious inclusive and innovative future. We prepare graduates as enlightened global citizens equipped for the challenges and opportunities of 21st-century careers. We are a community that embraces positive change inclusive excellence kindness and generosity of spirit with a commitment to lift the communities in which we live. Our students faculty and staff are bold and curious innovators and explorers. We partner with employers to understand and prepare graduates who meet their talent and technological needs we embrace lifelong learning and we pursue learning and scholarship that asks and addresses significant societal and scientific questions.
Rabbi Jacob Joseph School,Rabbi Jacob Joseph School seek to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish Law and thought.
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Rabbinical Academy Mesivta Rabbi Chaim Berlin seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Rabbinical College Bobover Yeshiva Bnei Zion,The Rabbinical College Bobover Yeshiva aims to carry forward the chain of Jewish learning and career training in an environment where education is personal  but rigorous and challenging.  The Yeshiva defines its purpose as teaching students Torah learning skills in order to foster creative scholarship and provide the community with Talmudists  scholars  and well-educated laymen.  We identify the following specific mission elements:  1.  Train students in the study and analytical interpretation of the classic texts of Judaism.  Foster reasoning skills  proficiency in textual analysis  the capacity for legal analysis  and a deftness in the application of advanced logic to methods of argumentation.  2.  Prepare students for service careers as Yeshiva teachers  melamdim  mechanchim and maggidei shiur in a wide range of formats.  3.  Provide students with the education for pursuing advanced rabbinic degrees that lead to college level teaching or practical rabbinics.  4.  Develop in the student a strong moral dimension by fostering an ethical sensibility through the study of Mussar  devotional texts and Talmudic Aggadata.  5.  Foster in the student a contemplative spirit  an awareness of the life of the mind and its encouragement.  6.  Train those with exceptional gifts for higher research in Talmud.
Rabbinical College of America,Rabbinical College of America seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought.
Rabbinical College of Long Island,Rabbinical College of Long Island seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Rabbinical College of Ohr Shimon Yisroel,TO PRODUCE STUDENTS WHO HAVE A FIRM COMMITMENT TO THEIR HERITAGE  A STRONG CONNECTION TO TALMUDIC SCHOLARSHIP AND A DEDICATION TO THE BETTERMENT OF THEIR FELLOW HUMAN BEING AND THEIR COMMUNITY.
Rabbinical College Ohr Yisroel,MISSION AND PURPOSE:   Rabbinical College Ohr Yisroel aims to transmit the   chain of Jewish learning and career advancement in an  environment where education is personal  yet rigorous and  challenging.  Rabbinical College Ohr Yisroel strives to  temper the intense learning schedule with various outlets   and activities  offering the students an opportunity to  unwind.  The Yeshiva defines its purpose as teaching students  Torah learning skills in order to nurture creative scholarship  and provide the community with Talmudists  scholars  and  well educated laymen.  We identify the following specific mission  elements: 1. Train students in the study and analytical  study of the classic texts of Judaism.  Foster reasoning  skills  proficiency in textual analysis  the capacity for  legal analysis  and deftness in the application of advanced  logic to techniques of argumentation.  2. Enable students  to gain knowledge and skills for service careers as Yeshiva  teachers  educators  and lecturers  in a wide range of   formats.  3. Provide students with the education for pursuing   advanced rabbinic degrees that will develop into higher degrees  in teaching or practical rabbinics.  4. Inculcate in the  student a strong moral awareness by fostering an ethical  sensibility through the stud of Mussar  devotional texts  and  Talmudic Aggadata.  5. Foster in the student an introspective  spirit  an awareness of the life of the mind and its   encouragement.  Cultivate a sense of awe and curiosity   about life  and a desire to contemplate the central questions  about man's purpose and his pursuit of the good. 6. Train  those with exceptional gifts for higher research in Talmud.
Rabbinical College Telshe,The aims and philosophy of Telshe Yeshiva emanate from its history  encompassing the time tested methods of the past as well as the needs of the present.  Young men  born and raised in all parts of the United States and Canada  South and Central America  Europe  Africa and Israel  arrive on campus with various backgrounds  but with a common desire to attain a high level of Talmudic Scholarship  as well as the inherent ability to cope with a demanding program of studies.  In the years that these people will spend at the College  it is expected that they will develop habits of scholarship  techniques of independent research  and most essential  a love of learning which will stand them in good stead throughout their lives.  There is another objective that has always been part of the Telshe Yeshiva; a graduate must possess those qualities of character and mind which mark him as being a concerned  involved member of the Jewish community  and a productive member of society as a whole. Leadership in community affairs  education and in civic matters has always been the hallmark of the Telshe graduate - in addition to the world - renowned scholarship of so many of its former students.
Rabbinical Seminary Mkor Chaim,Rabbinical Seminary M'kor Chaim seeks to train students in the skills required for understanding  studying and mastering the Talmud and the considerable body of traditional Jewish thought. At the same time we are committed to the understanding that knowledge is a means to a larger end. We seek therefore to help students build a world outlook drawn from the ethical and moral concepts of Judaism. If scholarship is to have a significant value it must orient its students to a way of life that  by its own definition  is good and moral.
Rabbinical Seminary of America,Since 1933 the Rabbinical Seminary of America has been fulfilling its two-fold objective; to provide young people with an outstanding education of the highest caliber  and to equip them with the training and commitment to serve in leadership positions for communities throughout the New York area and beyond.
Radford University,Located in the foothills of Virginia Radford University is a comprehensive public university.
Ramapo College of New Jersey,Ramapo College of New Jersey Home Page»About»Mission Vision Values & Land Acknowledgment
Randall University,Randall University is a Christian institution of higher education committed to the intellectual  spiritual  social  moral  and physical development of its students.  It seeks to prepare students to serve the Lord Jesus Christ  both in the church and in society at large.
Randolph College,
Randolph-Macon College,The mission of Randolph-Macon College—to develop the mind and the character of its students—underlies the college’s ultimate purpose: to prepare undergraduates for successful lives.
Reed College,Search ReedSearch
Reformed University,The mission of Reformed University is to build the church and improve society  based upon a salient biblical principle from Luke 4:18: “bring good news to the poor  proclaim release to the captives  recovery of sight to the blind  and let the oppressed go free ” and by this spirit  Reformed University is dedicated to delivering an unparalleled cross-cultural learning experience  and redefining leadership education for the 21st century by aiding its community in acquiring a global perspective  advancing knowledge  and deepening spirituality to meet the challenges and find solutions to the issues that affect us in life  both personally and socially.
Regent University,Regent awarded $22 million in institutional scholarships and aid 2020-21
Regis College,Rooted in the Catholic intellectual tradition and inspired by the social justice values of our founders theSisters of St. Joseph of Boston Regis College is a welcoming and inclusive community. We are called to provide access to an academically rigorous education through innovative learning opportunities and collaborative engagement at all degree levels. We educate the whole person preparing our students to pursue excellence to become change agents in their own communities and to serve and lead as advocates for a more just and compassionate global society.
Regis University,As a Jesuit Catholic universityRegis seeks to build a more just and humane worldthrough transformative educationat the frontiers of faith reason and culture.Regis University Mission Statement
Reinhardt University,Create a uniqueReinhardt Experiencewhere each student thrives
Rensselaer Polytechnic Institute,Rensselaer educates the leaders of tomorrow for technologically based careers. We celebrate discovery  and the responsible application of technology  to create knowledge and global prosperity.
Rhode Island College,©2023 Rhode Island College. All rights reserved.
Rhode Island School of Design,The mission of Rhode Island School of Design through its college and museum is to educate its students and the public in the creation and appreciation of works of art and design to discover and transmit knowledge and to make lasting contributions to a global society through critical thinking scholarship and innovation.
Rhodes College,Rhodes College aspires to graduate students with a lifelong passion for learning  a compassion for others  and the ability to translate academic study and personal concern into effective leadership and action in their communities and the world. We will achieve our aspiration through four strategic imperatives:    Student Access  To attract and retain a talented  diverse student body and engage these students in a challenging  inclusive and culturally-broadening college experience.   Student Learning  To ensure our faculty and staff have the talent  the time and the resources to inspire and involve our students in meaningful study  research and service.   Student Engagement  To enhance student opportunities for learning in Memphis.   Student Inspiration  To provide a residential place of learning that inspires integrity and high achievement through its beauty  its emphasis on values  its Presbyterian history  and its heritage as a leader in the liberal arts and sciences.
Rice University,We share values that are essential to our success as a healthy community. Those values guide our decisions and behaviors and shape Rice’s culture.
Rider University,Rider University welcomes students from throughout the region across the nation and around the world who seek to be challenged and supported as active members of our inclusive and vibrant living and learning community.  Committed to student growth transformation and leadership we connect rigorous academic artistic and professional programs of study with a rich array of learning experiences that engage students inside and outside the classroom.  We prepare graduates to thrive professionally and to be lifelong independent learners and responsible citizens who embrace diversity support the common good and contribute meaningfully to the changing world in which they live and work.
Ringling College of Art and Design,Ringling College has about 1700 undergraduate students and offers 13 degree programs. The College is the only institution in Florida dedicated exclusively to teaching art and design. Many of our programs are ranked among the best in the nation includingComputer AnimationMotion Design andGame Art.
Ripon College,Ripon College prepares students of diverse interests for lives of productive socially responsible citizenship. Our liberal arts curriculum and residential campus create an intimate learning community in which students experience a richly personalized education.
Rivier University,
Roanoke College,Admissionsadmissions@roanoke.edu(540) 375-2270
Robert Morris University,To be the gateway to engaged  productive  and successful careers and lives.
Roberts Wesleyan College,As a community of learners committed to historic Christianity  Roberts Wesleyan College seeks to prepare thoughtful  spiritually mature  service-oriented people who will help transform society.
Rochester Institute of Technology,At Rochester Institute of Technology we shape the future and improve the world through creativity and innovation. As an engaged intellectually curious and socially conscious community we leverage the power of technology the arts and design for the greater good.
Rochester University,Rochester University prepares students for professional and personal success as they serve in God’s world.
Rockford University,Rockford Universityformerly Rockford College® is a four-year co-educational institution founded in 1847 offering undergraduate and graduate degrees in traditional liberal arts and professional fields.Located in Rockford Ill. just 90 miles northwest of Chicago the campus spans 150 acres and includes several academic buildings an athletic complex 10 residence hall spaces and several newly remodeled residence hall and gathering spaces for students.
Rockhurst University,Rockhurst is a comprehensive university and a supportive community that forms lifelong learners in theCatholicJesuit liberal arts tradition who engage with the complexities of our world and serve others as compassionate thoughtful leaders.
Rocky Mountain College,Rocky Mountain College educates future leaders through liberal arts and professional programs that cultivate critical thinking creative expression ethical decision-making informed citizenship and professional excellence.
Rocky Mountain College of Art and Design,
Roger Williams University,In order to build the university the world needs now we draw inspiration from our namesake and reflect upon our history to chart a visionary course for the future of Roger Williams University.
Rogers State University,
Rollins College,Rollins College educates students for global citizenship and responsible leadership empowering graduates to pursue meaningful lives and productive careers. We are committed to the liberal arts ethos and guided by its values and ideals. Our guiding principles are excellence innovation and community.
Roosevelt University,
Rose-Hulman Institute of Technology,© 2023 Rose-Hulman Institute of Technology
Rosemont College,Give to Rosemont
Rowan University,Apply to Rowan
Russell Sage College,Everything you wanted to know about Russell Sage College at a glance.
Rust College,Rust College is a historically Black  co-educational  senior liberal arts college founded in 1866 by the Freedman's Aid Society of the Methodist Episcopal Church to offer quality programs in business  education  humanities  science and math  and social science to prepare students for leadership and service in a global society.
Rutgers University-Camden,
Rutgers University-New Brunswick,Founded in 1766 Rutgers–New Brunswick our flagship location is New Jersey’s No. 1 public research university a top 20 public national university a member of the Association of American Universities and home of the Big Ten Scarlet Knights.
Rutgers University-Newark,
Sacred Heart Major Seminary,Sacred Heart Major Seminary will close at 12:00 p.m. today 2/22/2023 due to severe forecasted weather for classes business and Mass. We pray that everyone remains safe during this predicted storm.
Sacred Heart University,The Office of Mission Integration & Ministry at Sacred Heart University has as its primary purpose the articulation promotion and transmission of Catholic Intellectual and Spiritual Traditions.
Saginaw Valley State University,Copyright©Saginaw Valley State University| Privacy PolicyPrivacy Statement|Accessibility|Feedback
Saint Ambrose University,
Saint Anselm College,Saint Anselm College was founded in 1889 by the Benedictine monks of St. Mary's Abbey of Newark New Jersey in response to the invitation by Bishop Denis M. Bradley the first bishop of Manchester N.H. A six-year classical course with curricula in philosophical and theological studies was organized and opened to qualified students.
Saint Anthony College of Nursing,In the Spirit of Christ and the example of Francis of Assisi the Mission of Saint Anthony College of Nursing a private Catholic college is to provide quality nursing and health care education in an environment that encourages open inquiry lifelong learning and to serve all persons with the greatest care and love.
Saint Augustine's University,
Saint Charles Borromeo Seminary-Overbrook,
Saint Cloud State University,
Saint Edward's University,
Saint Elizabeth University,
Saint Francis University,In an age of complexity the simplicity of the message of St. Francis of Assisi has more appeal than ever before:Catholic Faith. Humility. Generosity. Reverence. Service. Respect. Prayer. Joy. Love. These guiding principles of the Franciscans are the values we embrace at Saint Francis University.
Saint John Fisher College,
Saint Johns University,
Saint Joseph Seminary College,Saint Joseph Seminary College is a community of faith rooted in the Benedictine tradition which promotes learning in the liberal arts and the development of the whole person. The formation program fosters the commitment of seminarians to the Roman Catholic priesthood in accordance with the United States Conference of Catholic Bishops' Program of Priestly Formation. The Seminary College also makes available its educational and other resources to the local community.
Saint Joseph's College of Maine,
Saint Joseph's University,
Saint Leo University,Saint Leo University is an innovative global Catholic liberal arts university that fosters a warm inclusive community that helps educate and develop students for success. We inspire diversity of thought in our next generation of leaders and the courage to boldly confront the world’s challenges through service to others.
Saint Louis Christian College,Saint Louis Christian College prepares biblical servant leaders for urban  suburban  rural  and global ministry.
Saint Louis University,The Mission of Saint Louis University is the pursuit of truth for the greater glory'                  of God and for the service of humanity.
Saint Martin's University,For over 125 years our Benedictine values including community hospitality justice listening and stewardship have been the foundation of life at Saint Martin's.
Saint Mary's College,These interrelated values guide the College community in fulfilling its mission. Each member of the Saint Mary's College community shares responsibility for the mission and core values by performing her/his specific role in the best way possible. In addition members:
Saint Mary's College of California,
Saint Mary's University of Minnesota,
Saint Mary-of-the-Woods College,Saint Mary-of-the-Woods College embodies a spirit of student-centered academic innovation faith and leadership to transform ourselves our communities and our world.
Saint Michael's College,
Saint Norbert College,
Saint Peter's University,Saint Peter's University  inspired by its Jesuit  Catholic identity  commitment to individual attention and grounding in the liberal arts  educates a diverse community of learners in undergraduate  graduate and professional programs to excel intellectually  lead ethically  serve compassionately and promote justice in our ever-changing urban and global environment
Saint Vincent College,With more than 1500 students Saint Vincent College offers the personal attention and educational tools to integrate your intellectual aptitudes with your professional goals. Student life at Saint Vincent College is enriched by the unique programs activities and opportunities that collectively shape the educational journey of those who live and learn here.At a GlanceU.S. News & World Report’s ranking of National Liberal Arts Colleges – first tier98 percent of those responding to a survey of the Class of 2019 employed or in graduate schoolBenedictine priests and brothers make up 15 percent of the faculty adding a spiritual dimension and unique heritage to Saint Vincent’s welcoming supportive community and challenging academic environment.Campus Setting:200-acre picturesque campus in Laurel Highlands of PAAcademicsMore than 50 undergraduate majors and 9 graduate and professional programs11:1 student-faculty ratioFreshman-to-sophomore retention: 81%Four-year graduation rate: 66%Six-year graduation rate: 69%Enrollment:1560 Undergraduate Students179 Graduate StudentsMale/Female Ratio:53:47Median Age:Undergraduate: 20Graduate: 27Freshmen:Applications: 2028Enrolled: 359Test Scores:SAT I Middle 50%Math: 510-620ERW: 520-620ACT Middle 50%: 20-27Average High School GPA: 3.55Annual Tuition (2020-21):Undergraduate: $36586 for full-time undergraduatesGraduate: varies by programStudent Life:More than 50 clubs and programs offered
Saint Xavier University,Saint Xavier University a Catholic institution inspired by the heritage of the Sisters'                        of Mercy educates persons to search for truth to think critically to communicate'                        effectively and to serve wisely and compassionately in support of human dignity and'                        the common good.
Salem College,Salem College a liberal arts college for women values its students as individuals develops their unique potential and prepares them to change the world.
Salem State University,Salem State offers 33 undergraduate degree programs in the liberal arts human services and business along with graduate programs that provide degrees in 24 fields and a continuing education division that offers both credit and non-credit programs.
Salem University,Salem College received its charter from the State of West Virginia in December 1888 and offered its first term of instruction beginning in April 1889.
Salisbury University,Salisbury University's current Mission statement was adopted in 2014 and revised in 2019 to reflect our change in campus structure. Our Values and the SU Promise also are important to the campus community.
Salve Regina University,Map and Directions to Salve Regina University
Sam Houston State University,Sam Houston State University provides high quality education  scholarship  and service to qualified students for the benefit of regional  state  national and international constituencies.
Samford University,
San Diego Christian College,San Diego Christian College (SDCC) exists to educate and inspire students through the truth of Scripture and the development of competencies that prepare graduates whose purpose is to impact the world.
